id_consumo,id_reserva,id_huesped_reserva,id_servicio,nombre_servicio,precio_aplicado,cantidad,anulado,fecha_anulacion,fecha_consumo,pagado
1,1,1,19,Pet Care,166,3,0,,2025-10-15 11:58:40,0
2,1,1,5,Room Service,445,3,0,,2025-10-15 13:50:45,1
3,1,1,2,Lavandería,88,4,0,,2025-10-15 06:04:09,1
4,1,1,17,Eventos,149,2,0,,2025-10-16 22:50:18,1
5,1,1,30,Seguridad,430,4,0,,2025-10-16 11:11:13,1
6,1,1,27,Alquiler Auto,193,5,1,2026-02-20 18:10:59,2025-10-15 00:33:47,1
7,1,1,28,Checkin VIP,274,1,0,,2025-10-17 07:47:42,1
8,1,1,30,Seguridad,430,3,0,,2025-10-15 21:15:20,0
9,1,1,14,Parqueadero,181,1,0,,2025-10-16 18:54:55,1
10,2,2,2,Lavandería,88,1,0,,2024-07-27 05:32:19,1
11,2,2,9,Gimnasio,52,3,0,,2024-07-30 21:23:32,0
12,2,2,15,Guardería,283,5,0,,2024-07-31 11:42:40,1
13,2,2,30,Seguridad,430,4,0,,2024-07-29 14:46:14,1
14,2,2,14,Parqueadero,181,2,1,2026-02-01 14:01:04,2024-07-31 18:47:20,0
15,2,2,10,Tour,38,2,0,,2024-07-29 03:56:25,1
16,2,2,18,Limpieza Extra,405,5,0,,2024-07-29 15:13:40,1
17,2,2,6,Minibar,376,4,0,,2024-07-31 19:32:52,1
18,2,2,23,Conferencias,429,4,0,,2024-07-27 20:49:17,0
19,2,2,13,Internet Premium,473,1,0,,2024-07-31 07:06:51,1
20,3,5,10,Tour,38,5,0,,2024-10-15 17:44:04,1
21,3,5,22,Jacuzzi,159,2,0,,2024-10-18 16:39:49,0
22,3,5,9,Gimnasio,52,3,0,,2024-10-14 04:53:26,0
23,3,5,6,Minibar,376,2,0,,2024-10-13 18:02:32,0
24,3,5,13,Internet Premium,473,4,0,,2024-10-15 19:53:07,1
25,3,5,23,Conferencias,429,4,0,,2024-10-12 15:30:46,0
26,3,5,7,Transporte,343,5,0,,2024-10-21 19:26:34,0
27,3,5,4,Cena,436,3,0,,2024-10-11 12:23:43,1
28,3,5,12,Bar,425,5,0,,2024-10-13 02:59:25,1
29,4,6,2,Lavandería,88,1,0,,2026-02-26 08:49:11,1
30,4,6,21,Excursiones,463,2,0,,2026-02-26 14:24:48,0
31,4,6,14,Parqueadero,181,2,0,,2026-02-25 01:31:48,0
32,4,6,28,Checkin VIP,274,1,0,,2026-02-24 20:25:47,1
33,4,6,6,Minibar,376,2,0,,2026-02-25 11:36:52,0
34,4,6,16,Salón VIP,437,3,1,2026-05-13 02:56:23,2026-02-26 19:43:41,1
35,4,6,13,Internet Premium,473,1,0,,2026-02-24 05:55:08,1
36,4,6,9,Gimnasio,52,2,0,,2026-02-24 07:18:17,0
37,4,6,27,Alquiler Auto,193,5,0,,2026-02-24 08:18:46,0
38,4,6,30,Seguridad,430,2,0,,2026-02-24 23:42:39,1
39,4,6,12,Bar,425,5,0,,2026-02-25 04:26:21,0
40,6,9,12,Bar,425,5,0,,2025-05-26 08:01:07,1
41,6,9,18,Limpieza Extra,405,4,0,,2025-05-17 11:08:44,1
42,6,9,2,Lavandería,88,3,0,,2025-05-14 02:12:51,0
43,6,9,16,Salón VIP,437,2,0,,2025-05-14 18:01:18,1
44,6,9,7,Transporte,343,4,0,,2025-05-21 20:03:47,0
45,6,9,2,Lavandería,88,3,0,,2025-05-25 16:20:18,1
46,6,9,9,Gimnasio,52,3,1,2026-04-21 16:48:25,2025-05-20 11:12:22,0
47,6,9,3,Desayuno,200,3,0,,2025-05-16 11:03:19,0
48,7,10,30,Seguridad,430,2,0,,2025-11-18 07:55:49,1
49,7,10,23,Conferencias,429,4,0,,2025-11-19 21:20:16,1
50,7,10,17,Eventos,149,2,1,2026-05-03 22:09:02,2025-11-14 18:00:36,0
51,7,10,1,Spa,73,3,1,2026-04-17 13:04:39,2025-11-16 22:46:39,1
52,8,12,6,Minibar,376,1,1,2026-03-13 03:37:29,2025-04-18 02:20:22,1
53,9,16,11,Masajes,123,3,0,,2026-07-12 07:51:14,1
54,10,17,3,Desayuno,200,2,0,,2024-06-02 10:45:45,1
55,10,17,4,Cena,436,4,0,,2024-06-13 15:38:34,1
56,10,17,26,Niñera,478,1,0,,2024-06-08 15:42:21,0
57,10,17,10,Tour,38,3,0,,2024-06-03 19:24:47,0
58,10,17,13,Internet Premium,473,4,0,,2024-06-02 03:40:30,1
59,10,17,23,Conferencias,429,5,0,,2024-06-08 06:26:36,0
60,10,17,10,Tour,38,2,1,2026-02-02 12:15:49,2024-06-01 16:32:41,1
61,11,18,23,Conferencias,429,5,0,,2025-06-29 15:41:13,0
62,11,18,14,Parqueadero,181,1,0,,2025-06-27 07:43:30,1
63,11,18,2,Lavandería,88,4,0,,2025-06-28 21:36:38,0
64,11,18,11,Masajes,123,5,0,,2025-06-30 12:58:55,0
65,12,20,9,Gimnasio,52,5,0,,2024-10-01 03:45:22,1
66,12,20,28,Checkin VIP,274,5,0,,2024-09-22 06:52:47,0
67,12,20,4,Cena,436,3,0,,2024-09-25 04:20:43,0
68,12,20,12,Bar,425,4,0,,2024-09-30 18:40:02,0
69,12,20,11,Masajes,123,5,0,,2024-09-25 15:13:42,0
70,12,20,23,Conferencias,429,1,0,,2024-10-03 05:27:18,0
71,13,24,27,Alquiler Auto,193,1,0,,2026-03-21 07:32:44,1
72,13,24,24,Buffet,243,3,0,,2026-03-27 00:59:57,1
