id_huesped_reserva,id_reserva,id_cliente,rol
1,1,518,titular
2,2,40,titular
3,2,449,acompanante
4,2,472,acompanante
5,3,104,titular
6,4,695,titular
7,5,95,titular
8,5,789,acompanante
9,6,691,titular
10,7,400,titular
11,7,548,acompanante
12,8,235,titular
13,8,607,acompanante
14,8,387,acompanante
15,8,606,acompanante
16,9,297,titular
17,10,363,titular
18,11,462,titular
19,11,175,acompanante
20,12,410,titular
21,12,747,acompanante
22,12,378,acompanante
23,12,717,acompanante
24,13,634,titular
25,13,179,acompanante
26,13,299,acompanante
27,13,36,acompanante
28,14,376,titular
29,15,681,titular
30,16,500,titular
31,17,604,titular
32,18,11,titular
33,19,217,titular
34,20,624,titular
35,21,381,titular
36,22,161,titular
37,23,142,titular
38,23,108,acompanante
39,24,163,titular
40,25,36,titular
41,26,64,titular
42,26,290,acompanante
43,27,675,titular
44,28,583,titular
45,28,382,acompanante
46,29,264,titular
47,30,299,titular
48,31,401,titular
49,31,51,acompanante
50,31,682,acompanante
51,31,276,acompanante
52,32,272,titular
53,33,684,titular
54,34,94,titular
55,34,466,acompanante
56,35,491,titular
57,36,305,titular
58,37,474,titular
59,37,101,acompanante
60,38,379,titular
61,39,80,titular
62,40,277,titular
63,40,703,acompanante
64,40,696,acompanante
65,40,276,acompanante
66,40,543,acompanante
67,41,579,titular
68,41,400,acompanante
69,42,203,titular
70,43,354,titular
71,43,232,acompanante
72,43,454,acompanante
73,43,408,acompanante
74,43,243,acompanante
75,44,620,titular
76,45,371,titular
77,46,657,titular
78,46,661,acompanante
79,46,272,acompanante
80,46,519,acompanante
81,47,535,titular
82,48,406,titular
83,49,559,titular
84,49,272,acompanante
85,50,264,titular
86,51,788,titular
87,52,290,titular
88,53,717,titular
89,53,11,acompanante
90,53,10,acompanante
91,53,426,acompanante
92,54,123,titular
93,55,435,titular
94,56,253,titular
95,57,775,titular
96,58,141,titular
97,59,418,titular
98,60,283,titular
99,61,401,titular
100,61,146,acompanante
101,62,27,titular
102,63,703,titular
103,64,396,titular
104,65,146,titular
105,65,730,acompanante
106,66,179,titular
107,66,489,acompanante
108,66,622,acompanante
109,67,35,titular
110,68,563,titular
111,69,461,titular
112,69,88,acompanante
113,70,156,titular
114,71,48,titular
115,71,529,acompanante
116,71,488,acompanante
117,71,605,acompanante
118,71,33,acompanante
119,72,446,titular
120,72,427,acompanante
121,73,446,titular
122,73,436,acompanante
123,73,687,acompanante
124,73,683,acompanante
125,73,173,acompanante
126,73,682,acompanante
127,74,743,titular
128,74,219,acompanante
129,75,786,titular
130,75,743,acompanante
131,75,441,acompanante
132,75,278,acompanante
133,75,712,acompanante
134,76,225,titular
135,76,774,acompanante
136,77,122,titular
137,78,464,titular
138,78,112,acompanante
139,78,421,acompanante
140,78,718,acompanante
141,78,743,acompanante
142,79,247,titular
143,79,773,acompanante
144,80,458,titular
145,80,536,acompanante
146,81,611,titular
147,81,751,acompanante
148,81,178,acompanante
149,82,546,titular
150,83,239,titular
151,84,691,titular
152,85,392,titular
153,86,590,titular
154,87,76,titular
155,87,163,acompanante
156,88,107,titular
157,89,11,titular
158,90,279,titular
159,90,780,acompanante
160,91,377,titular
161,91,350,acompanante
162,91,775,acompanante
163,92,706,titular
164,93,470,titular
165,94,94,titular
166,95,462,titular
167,96,5,titular
168,96,393,acompanante
169,96,157,acompanante
170,97,377,titular
171,98,648,titular
172,99,443,titular
173,100,520,titular
174,101,411,titular
175,101,112,acompanante
176,101,461,acompanante
177,102,226,titular
178,103,739,titular
179,104,402,titular
180,104,57,acompanante
181,104,616,acompanante
182,105,795,titular
183,105,41,acompanante
184,106,662,titular
185,107,130,titular
186,108,52,titular
187,109,345,titular
188,109,551,acompanante
189,110,168,titular
190,110,662,acompanante
191,111,646,titular
192,112,633,titular
193,112,60,acompanante
194,113,280,titular
195,114,509,titular
196,115,470,titular
197,115,28,acompanante
198,116,43,titular
199,117,85,titular
200,118,380,titular
201,118,470,acompanante
202,119,264,titular
203,120,227,titular
204,120,240,acompanante
205,120,140,acompanante
206,121,413,titular
207,122,747,titular
208,123,89,titular
209,124,273,titular
210,124,458,acompanante
211,125,332,titular
212,126,449,titular
213,127,587,titular
214,128,730,titular
215,128,632,acompanante
216,129,699,titular
217,130,222,titular
218,130,315,acompanante
219,131,195,titular
220,132,176,titular
221,132,105,acompanante
222,133,332,titular
223,134,677,titular
224,134,281,acompanante
225,134,734,acompanante
226,135,651,titular
227,136,332,titular
228,136,425,acompanante
229,136,89,acompanante
230,136,670,acompanante
231,137,298,titular
232,138,601,titular
233,139,620,titular
234,140,655,titular
235,140,214,acompanante
236,141,453,titular
237,142,548,titular
238,143,83,titular
239,144,93,titular
240,145,634,titular
241,145,189,acompanante
242,145,101,acompanante
243,146,506,titular
244,147,427,titular
245,148,754,titular
246,149,10,titular
247,150,306,titular
248,151,720,titular
249,152,535,titular
250,153,80,titular
251,153,332,acompanante
252,153,656,acompanante
253,154,776,titular
254,155,249,titular
255,156,800,titular
256,157,15,titular
257,158,676,titular
258,159,381,titular
259,160,705,titular
260,160,109,acompanante
261,160,690,acompanante
262,161,282,titular
263,162,384,titular
264,162,409,acompanante
265,163,680,titular
266,164,83,titular
267,164,696,acompanante
268,165,427,titular
269,165,208,acompanante
270,166,16,titular
271,167,318,titular
272,168,610,titular
273,168,477,acompanante
274,169,184,titular
275,170,471,titular
276,170,758,acompanante
277,170,282,acompanante
278,170,511,acompanante
279,170,297,acompanante
280,171,520,titular
281,171,546,acompanante
282,171,657,acompanante
283,172,254,titular
284,173,79,titular
285,174,184,titular
286,174,29,acompanante
287,175,747,titular
288,175,305,acompanante
289,175,522,acompanante
290,175,498,acompanante
291,176,394,titular
292,176,718,acompanante
293,176,650,acompanante
294,176,635,acompanante
295,176,776,acompanante
296,177,28,titular
297,178,543,titular
298,179,294,titular
299,179,552,acompanante
300,179,503,acompanante
301,179,538,acompanante
302,180,56,titular
303,181,414,titular
304,181,220,acompanante
305,182,405,titular
306,183,666,titular
307,183,148,acompanante
308,184,507,titular
309,185,79,titular
310,185,8,acompanante
311,186,583,titular
312,186,587,acompanante
313,187,684,titular
314,188,232,titular
315,188,396,acompanante
316,188,36,acompanante
317,189,615,titular
318,189,235,acompanante
319,190,718,titular
320,191,774,titular
